abb	abban
lagzihó	lagzihoz
lakadalma	lakodalma
lakadalmadra	lakodalmadra
lakadalmat	lakodalmat
lakadalmi	lakodalmi
lakadalmába	lakodalmában
lakadalmát	lakodalmát
lakadalom	lakodalom
lakadalomnak	lakodalomnak
lakadalomra	lakodalomra
lakatkócsot	lakatkulcsot
lakbúl	lakból
lakhatik	lakhat
lakodalmoztak	lakodalmaztak
lakomározást	lakmározást
lakozhatik	lakozhat
lakozék	lakozott
laktanak	laktak
lakzis	lagzis
lakzit	lagzit
lakáshitel-kamatot	lakáshitelkamat
lakástakarék-pénztárak	lakás-takarékpénztár
lakástakarékpénztár	lakás-takarékpénztár
lakóssait	lakosait
langot	lángot
lapickával	lapockával
lapis	lapos
lapittó	lapító
laskanyútót	laskanyújtót
lassankint	lassanként
lasssult	lassult
lavorba	lavórba
lazaretbe	Lazaretbe
leakasztanyi	leakasztani
learatattak	learatztak
leboritanak	leborítanak
leboritják	leborítják
leburitotta	leborította
lebúrítanak	leborítanak
lecsüngetött	lecsüngetett
ledőntik	ledöntik
ledűlt	ledőlt
leereszködtek	leereszkedtek
lefeküdött	lefeküdt
lefeküsznek	lefekszenek
lefekütt	lefeküdt
lefeküvék	lefeküdt
lefetyüli	lefetyeli
leffellé	lefelé
lefoly	lefolyik
legalul	legalul
legalábbvaló	legalávalóbb
legalól	legalul
legbelő	belül
legeji	legeli
legek	legek
legelnyi	legelni
legelon	legelőn
legelore	legelőre
legelsőbben	legelőször
legelébb	legelőbb
legelészszenek	legelésszenek
legelőröl	legelőről
legelőrül	legelőről
legelőrűl	legelőről
legelősször	legelőször
legeény	legény
legfennebb	legfentebb
legföljebb	legfeljebb
leghamarább	leghamarabb
leghamarébb	leghamarabb
leghamrabb	leghamarabb
legienyek	legények
leginy	legény
leginyek	legények
legislegszebb	legeslegszebb
legiény	legény
legiényei	legényei
legiények	legények
legiényeket	legényeket
legiénység	legénység
legkissebbik	legkisebbik
legkissebbér	legkisebbért
legküssebb	legkisebb
legküssebbik	legkisebbik
legküssebbiket	legkisebbiket
legmagossabb	legmagasabb
legmeredekjebb	legmeredekebb
legszöbbjeiből	legszebbjeiből
legubaszt	legubbaszt
legugsoltam	lekuksoltam
legviégién	legvégén
legy	légy
legyetök	legyetek
legyezgesség	legyezgessék
legyén	legyen
legyön	legyen
legyött	lejött
legyün	lejön
legyütt	lejött
legyüttek	lejöttek
legyőnk	legyünk
legyűn	lejön
legéneknek	legényeknek
legénke	legényke
legénkori	legénykori
legénkorába	legénykorában
legénnek	legénynek
legénsorba	legénysorba
legént	legényt
legénybül	legényből
legényektő	legényektől
legényi	legénye
legénykoráben	legénykorában
legényrő	legényről
legényvel	legénnyel
legéyn	legény
legíny	legény
legínyeket	legényeket
legínykori	legénykori
legöregebbvel	legöregebbel
lehajult	lehajolt
lehassogatta	lehasogatta
lehecséges	lehetséges
lehelletet	leheletet
lehelletével	leheletével
lehetetlensíget	lehetetlenséget
lehetött	lehetett
lehuzza	lehúzza
lehántyák	lehántják
lehúll	lehullik
lehül	lehűl
leirom	leírom
leirva	leírva
lejebb	lejjebb
lejereszkedett	leereszkedett
lejereszkedik	leereszkedik
lejjebb-lejjebb	lejjebb
lejányt	leányt
lejártokon	lejáratokon
lekissebbítenek	lekisebbítenek
leküldötték	leküldték
leküpködnek	leköpködnek
lekűdte	leküldte
lelköm	lelkem
lelípnek	lelépnek
lelűnni	lelőni
lelűve	lelőve
lemegyen	lement
lementében	mentében
lemenyen	lemegy
lemerűl	lemerül
lemiere	lemierre
lemmiere	lemierre
lennebb	lejjebb
lennyi	lenni
lenyirt	lenyírt
lenyugosznak	lenyugszanak
lenyúgtakor	lenyugtakor
leníz	lenéz
lepedoben	lepedőben
lepreczkelsz	lespriccelsz
lepëdeővel	lepedővel
leraknyi	lerakni
leroskadott	leroskadt
leselkedel	leselkedsz
leskülődött	leskelődött
lessz	lesz
leszakit	leszakít
leszakittatik	leszakíttatik
leszen	lesz
leszk	lesz
leszurni	leszúrni
leszállanak	leszállnak
leszállitotta	leszállította
leszállottá	leszálltál
leszöl	leszel
lesző	leszel
letalabb	legalább
leteleő	legelőször
letellett	letelt
letereősebb	legerősebb
letettík	letették
letjobban	legjobban
letkönnyebb	legkönnyebb
lettenek	lettek
letérgyelt	letérdelt
letörülni	letörölni
letörülte	letörölte
letötte	letette
leugrott	leugrott
leveledzőlap	levelezőlap
levelit	levelét
levelnek	levélnek
levelyi	levelei
leverenda	reverenda
leverendát	reverendát
levettík	levették
levidd	levidd
levivel	levével
levié	levél
levágnyi	levágni
leválott	levált
levélrűl	levélről
levőben	levő
lezárút	lezárult
leán	leány
leánból	leányból
leánnak	leánynak
leánnézőbe	leánynézőbe
leánt	leányt
leány-nevet	leánynevet
leányodot	leányodat
leányomot	leányomat
leánytestvíreket	leánytestvéreket
leánytestvírit	leánytestvérét
leánytestvírünket	leánytestvérünket
leányvállathoz	leányvállalathoz
leányátúl	leányától
leátak	leálltak
leépsz	lépsz
leígette	leégette
leíltík	leélték
leütte	leütötte
leőt	leölt
leűlt	leült
leűtek	leültek
lhagya	elhagyja
licendíjon	licencdíjon
lidercek	lidércek
liktyát	likját
lisztbő	lisztből
lisztőnk	lisztünk
liván	litván
liát	libát
liényok	lányok
lolábat	lólábat
lopakodhatol	lopakodhatsz
lopnyi	lopni
lovakot	lovakat
lovastúl	lovastul
lováró	lováról
luca	Luca
lucanap	luca-nap
lucanapkor	luca-napkor
lud	lúd
ludas-kását	ludaskását
ludhust	lúdhúst
ludtrágyát	lúdtrágyát
ludvérc	lidérc
ludvérczre	lidércre
lugosba	lugasba
lugzottak	lúgoztak
luváról	lováról
lyukbló	lyukból
lyukbúl	lyukból
lyukná	lyuknál
lyukábaó	lyukából
lyánba	lányba
lyánho	lányhoz
lyánnak	lánynak
lyánt	lányt
lyántó	lánytól
lyánynak	lánynak
lábafejére	lábfejére
lábamot	lábamat
lábamval	lábammal
lábaszára	lábszára
lábaszárára	lábszárára
lábaszőrzete	lábszőrzete
lábikhoz	lábukhoz
lábod	lábad
lábodat	lábadat
lábok	lábak
lábokat	lábukat
lábomat	lábamat
lábommal	lábammal
lábtó	lábtól
lábu	lábú
lábám	lábam
lábárul	lábáról
lábáró	lábáról
lábárúl	lábáról
lábúját	|lábujját
láccik	látszik
láccott	látszott
ládábúl	ládából
láncaó	lánccal
lángokval	lángokkal
lány-nevet	lánynevet
lányho	lányhoz
lánynízőbe	lánynézőbe
lányodot	lányodat
lányodtúl	lányodtól
lányodval	lányoddal
lányomval	lányommal
lánytestvíre	lánytestvére
lányánó	lányánál
lányónk	lányunk
lányüdét	lányodét
lápbló	lápból
lármáró	lármáról
lássonak	lássanak
láthati	láthatja
látniok	látniuk
látnyi	látni
látomásaji	látomásai
látszódjík	látszódjék
láttya	látja
láttyuk	látjuk
látytya	látja
léadja	leadja
légitársasaság	légitársaság
légitársaságokok	légitársaságok
légytol	légytől
légyvel	léggyel
léhütő	léhűtő
lél	lel
lélegzeti	lélegzete
lélegzetvisszafojtva	lélegzet-visszafojtva
lélekzetvétele	lélegzetvétele
lépjükben	lépükben
lépjőnk	lépjünk
lépésrő	lépésről
lépött	lépett
lépőnk	lépünk
léssz	leszel
lész	leszel
léttyire	létére
lë	le
lëgyek	legyek
lëgyeék	legyen
lëgyën	legyen
lëhet	lehet
lëhettem	lehettem
lëjjebb	lejjebb
lëmorzsonyi	lemorzsolni
lënnyi	lenni
lënnëm	lennem
lëpik	lepik
lëssz	lesz
lësz	lesz
lëtelepszeőnk	letelepszünk
lëtt	lett
lëttem	lettem
lëtörüjük	letöröljük
lëvert	levert
lëvágno	levágni
lëvágnyi	levágni
lëánt	lányt
líba	liba
lígy	légy
líp	lép
lípcsőnek	lépcsőnek
lípett	lépett
lípj	lépj
lípni	lépni
lípísre	lépésre
lípíst	lépést
lódarázst	lódarazsat
lódithassák	lódíthassák
lóhalálába	lóhalálában
lóhert	lóherét
lóho	lóhoz
lóhugyba	lóhúgyba
lónn	lovon
lótul	lótól
lögyenek	legyenek
lögyél	legyél
lögyön	legyen
löhet	lehet
löhetett	lehetett
löl	lett
lölt	lelt
lönni	lenni
lössz	lesz
lösz	lesz
löszök	leszek
löszön	lesz
lött	lett
lövésétt	lövésért
lú	ló
lúca	luca
lúcázni	lucázni
lúdakat	ludakat
lúdarázs	lódarázs
lúgzotta	lúgozta
lúháton	lóháton
lúhátra	lóhátra
lúkoponya	lókoponya
lúkoponyát	lókoponyát
lúnak	lónak
lúnál	lónál
lúpatkó	lópatkó
lúpatkót	lópatkót
lúra	lóra
lúrul	lóról
lúrúl	lóról
lúval	lóval
lütt	lőtt
lüvés	lövés
lüvök	lövök
lüődöznek	lődöznek
lőjjön	lőjön
lőtessük	lövessük
lőtőn	lejtőn
lű	lő
lűdd	lődd
lűttek	lőttek
ma-hónap	maholnap
macska-béka	macskabéka
macska-kölykek	macskakölykök
macskatüvisekbe	macskatövisekbe
macskatüviskbe	macskatöviskbe
macsko	macska
macskákot	macskákat
macskáktúl	macskáktól
macsáért	macskáért
madarastúl	madarastul
madjd	majd
madzagjábó	madzagjából
madárfiokák	madárfiókák
madárfiszek	madárfészek
madártollut	madártollat
madárír	madárért
maga-magának	magamagának
magadot	magadat
magadrúl	magadról
magamot	magamat
magamval	magammal
magaában	magában
magaé	magáé
magaét	magáét
magik	maguk
magikot	magukat
magokná	maguknál
magokot	magukat
magokra	magukra
magokró	magukról
magos	magas
magosan	magasan
magosba	magasba
magosra	magasra
magoss	magas
magossan	magasan
magukot	magukat
magukér	magukért
magyarázatja	magyarázata
magyarót	mogyorót
magyraországon	magyarországon
magzatjainak	magzatainak
magzatjának	magzatának
magáho	magához
magáhó	magához
magállani	megállni
magáná	magánál
magárló	magáról
magárúl	magáról
magátúl	magától
mahónap	maholnap
maig	máig
makacskodástok	makacskodásotok
maköt	makkot
malacca	malaca
malahit	malachit
malahitból	malachitból
malomja	malma
mannyország	mennyország
maradatok	maradjatok
maradott	maradt
maradvái	maradványai
maradváink	maradványaink
maradváinknak	maradványainknak
maradíkbúl	maradékból
maraggyanak	maradjanak
maraggyatok	maradjatok
maraggyék	maradjon
marcangolástúl	marcangolástól
mardosóstul	mardosástól
marhájokat	marhájukat
marjára	marára
markokba	markukba
markúljon	markoljon
marékval	marékkal
masiná	masina
masinábul	masinából
mast	most
maszszárítasz	megszárítasz
matáv-ot	matávot
matóllál	motollál
matóllált	motollált
matóllát	motollát
maá	már
maónosbébe	mónosbélbe
mcdonaldís	mcdonald's
mediobanca-é	mediobancáé
medribe	medrébe
medriből	medréből
meffognyi	megfogni
meg-megszentele	meg-megszentelte
meg-találta	megtalálta
megaggyonistenelnek	megadjonistenelnek
megakadott	megakadt
megalhatol	megalhatsz
megalunni	megaludni
megamarkoltam	megmarkoltam
megbirná	megbírná
megbocsájtja	megbocsátja
megbocsájtok	megbocsátok
megbocsájtom	megbocsátom
megbolodult	megbolondult
megbornyúzott	megborjúzott
megborzadott	megborzadt
megbosszúlni	megbosszulni
megbusul	megbúsul
megbusult	megbúsult
megbámutt	megbámult
megbírkóznia	megbirkóznia
megbírkóznom	megbirkóznom
megbírkózom	megbirkózom
megbírkózzam	megbirkózzam
megbíztatta	megbiztatta
megbútt	megbújt
megbücsüllek	megbecsüllek
megbűntetyi	megbünteti
megbűntetyik	megbüntetik
megcsinyáta	megcsinálta
megcsip	megcsíp
megcsipi	megcsípi
megcsordúl	megcsordul
megcsufoltál	megcsúfoltál
megcsípta	megcsípte
megdícsirtík	megdicsérték
megdícsírtek	megdicsértek
megdógoztunk	megdolgoztunk
megdöglöttíl	megdöglöttél
megehül	megéhül
megehült	megéhült
megehültem	megéhültem
megehültél	megéhültél
megelik	megellik
megeléglettem	megelégeltem
megelígedtek	megelégedtek
megelígedve	megelégedve
megelígelte	megelégelte
megelüőzüő	megelőző
megelüőző	megelőző
megengedöm	megengedem
megengesztelőgyik	megengesztelődik
megennyi	megenni
megeredett	megeredt
megerisztettem	megeresztettem
megeskünni	megesküdni
megesmerte	megismerte
megesmérem	megismerem
megesmérte	megismerte
megest	megint
megett	mögött
megettík	megették
megexaminálván	megegzaminálván
megfejjík	megfejjék
megfejtík	megfejték
megfele	meg
megfenyegettett	megfenyegetett
megferedett	megfürdött
megferedik	megfürdik
megfiatalogyik	megfiatalodik
megforditják	megfordítják
megforditva	megfordítva
megfordúl	megfordul
megfulladott	megfulladt
megfurják	megfúrják
megfájdú	megfájdul
megfájult	megfájdult
megfáradott	megfáradt
megfírgesűl	megférgesül
megfüsülte	megfésülte
megfüsülődjík	megfésülődjék
megfűsülködik	megfésülködik
megfűsülködött	megfésülködött
meggazdagítónk	meggazdagítunk
meggereblyeli	meggereblyézi
meggyaógyol	meggyógyul
meggyig	meddig
meggyujtani	meggyújtani
meggyujtják	meggyújtják
meggyujtotta	meggyújtotta
meggyulásából	meggyúlásából
meggyógyitja	meggyógyítja
meggyógyúlt	meggyógyult
meggyógyúltak	meggyógyultak
meggyön	megjön
meggyöttél	megjöttél
meggyúlad	meggyullad
meggyúladni	meggyulladni
meggyútják	meggyújtják
meggyútotta	meggyújtotta
meggyülni	meggyűlni
meggyütt	megjött
meggyüttem	megjöttem
meghajult	meghajolt
meghalnyi	meghalni
meghalnák	meghalnék
meghaloványodott	meghalványodott
meghals	meghalsz
megharagudt	megharagudott
megharagusznak	megharagszanak
meghibált	meghibbant
meghingerőzött	meghengergőzött
meghitta	meghívta
meghivják	meghívják
megholt	meghalt
meghí	meghív
meghíni	meghívni
meghítak	meghívtak
meghítta	meghívta
meghíttak	meghívtak
meghítták	meghívták
meghó	meghal
meghót	meghalt
meghótak	meghaltak
meghótt	meghalt
meghúzintod	meghuzintod
meghül	meghűl
meghüljön	meghűljön
megi	mögé
megigérte	megígérte
megigértem	megígértem
megigírte	megígérte
megigírtík	megígérték
megihe	mögé
megihedt	megijedt
megijedett	megijedt
megijedtíl	megijedtél
megijett	megijedt
megijjesztette	megijesztette
megin	megint
meginditott	megindított
megindíjja	megindítja
megindúl	megindul
megindúltak	megindultak
megindúnak	megindulnak
megindút	megindult
meginn	megint
meginnak	megisznak
meginnapoltuk	megünnepeltük
meginé	mögött
megiradt	megriadt
megirigyeltík	megirigyelték
megizenték	megüzenték
megjedtek	megijedtek
megjedtem	megijedtem
megjelen	megjelenik
megjelentű	megjelenésű
megjelnik	megjelenik
megjelönt	megjelent
megjelöntem	megjelentem
megjuhádzott	megjuhászodott
megjutalmazónk	megjutalmazunk
megjő	megjön
megkajita	megkapta
megkapjja	megkapja
megkedvellette	megkedvelte
megkerekitenek	megkerekítenek
megkerekitik	megkerekítik
megkerestík	megkeresték
megkeriti	megkeríti
megkerítís	megkerítés
megkezdenyi	megkezdeni
megkezdődödött	megkezdődött
megkezgyi	megkezdi
megkinálják	megkínálják
megkinálnak	megkínálnak
megkiván	megkíván
megkolbácsolják	megkorbácsolják
megkollintod	megkólintod
megkollintotta	megkólintotta
megkollintá	megkólintá
megkondúl	megkondul
megkárosítottá	megkárosítottál
megkérdözi	megkérdezi
megkérgyi	megkérdi
megkésött	megkésett
megkévánták	megkívánták
megkírdezi	megkérdezi
megkírem	megkérem
megkírik	megkérik
megkírje	megkérje
megkírni	megkérni
megkírte	megkérte
megkóstól	megkóstol
megköpüji	megköpüli
megköszőnni	megköszönni
megkötte	megkötötte
megköttem	megkötöttem
megküzsdenek	megküzdenek
megküzsdjünk	megkűzdjünk
meglepdésből	meglepődésből
meglepetésire	meglepetésére
meglátogatnyi	meglátogatni
meglüvöm	meglövöm
megmaradott	megmaradt
megmaratt	megmaradt
megmodta	megmondta
megmondanyi	megmondani
megmongya	megmondja
megmosakodjík	megmosakodjék
megmosdanni	megmosdani
megmosodni	megmosakodni
megmosztolt	megmozdult
megmozdúl	megmozdul
megmöntötted	megmentetted
megmútattak	megmutattak
megnonek	megnőnek
megnyertítek	megnyertétek
megnyilt	megnyílt
megnyirják	megnyírják
megnyugodtá	megnyugodtál
megnyugszónk	megnyugszunk
megnyuzta	megnyúzta
megnyálozta	megnyálazta
megnyált	megnyílt
megnyőjön	megnőjön
megnyőtt	megnőtt
megnyőttek	megnőttek
megnémúl	megnémul
megnéznyi	megnézni
megnëzett	megnézett
megnízem	megnézem
megnízi	megnézi
megnízik	megnézik
megnízni	megnézni
megnízte	megnézte
megnőjjön	megnőjön
megosztozkodnyi	megosztozkodni
megparancsúta	megparancsolta
megpattanik	megpattan
megpihennyi	megpihenni
megpiritanak	megpirítanak
megpiszkájják	megpiszkálják
megporoncsolta	megparancsolta
megpreczkeli	megpreckeli
megpreczkölöd	megpreckeled
megpuhitják	megpuhítják
megpürdül	megpördül
megrakta	megrakta
megreccssen	megreccsen
megriadott	megriadt
megrugja	megrúgja
megrugják	megrúgják
megrázkógyik	megrázkódik
megrémülem	megrémültem
megrőkönyödött	megrökönyödött
megsimagotja	megsimogatja
megszabadulnák	megszabadulnék
megszabadúl	megszabadul
megszabadúlni	megszabadulni
megszakadott	megszakadt
megszapodordik	megszaporodik
megszelidült	megszelídült
megszemélyesitett	megszemélyesített
megszlóal	megszólal
megszoktyík	megszokik
megszáradott	megszáradt
megszáritott	megszárított
megszáritva	megszárítva
megszégyenlette	megszégyellte
megszígyelli	megszégyelli
megszípűlt	megszépült
megszógálnám	megszolgálnám
megszólalat	megszólalt
megszólalik	megszólal
megszólitja	megszólítja
megszólitsa	megszólítsa
megszóllal	megszólal
megszóllitotta	megszólította
megszóllította	megszólította
megszünik	megszűnik
megszünjék	megszűnjék
megszünt	megszűnt
megszürik	megszűrik
megsárgú	megsárgul
megsövöm	megszövöm
megsütyi	megsüti
megsűlve	megsülve
megtanál	megtalál
megtanálja	megtalálja
megtanállom	megtalálom
megtanálnak	megtalálnak
megtanált	megtalált
megtanálta	megtalálta
megtanálták	megtalálták
megtanáltál	megtaláltál
megtanáták	megtalálták
megtelepödni	megtelepedni
megteriteni	megteríteni
megtolvasodtak	megtollasodtak
megtróbálta	megpróbálta
megtuggya	megtudja
megtutta	megtudta
megtutták	megtudták
megtészi	megteszi
megtörtínt	megtörtént
megtörtíntek	megtörténtek
megtöszöd	megteszed
megtúdni	megtudni
megtőtök	megtöltök
megtőtötték	megtöltötték
megujul	megújul
megurusolni	megorvosolni
meguóvasztyák	megolvasztják
megvagynak	megvannak
megvakúl	megvakul
megvalósitotta	megvalósította
megvattok	megvagytok
megvendígeltek	megvendégeltek
megvennyi	megvenni
megvertík	megverték
megvirradott	megvirradt
megvoncolták	megvonszolták
megváltanyi	megváltani
megvígasztalódott	megvigasztalódott
megvíradt	megvirradt
megvívik	megvív
megvót	megvolt
megvótak	megvoltak
megycsókolja	megcsókolja
megyen	megy
megyiből	megyéből
megyőnk	megyünk
megzugattyuk	megzúgatjuk
megzápolnak	megzápulnak
megában	magában
megáldanyi	megáldani
megállanyi	megállni
megállittom	megállítom
megállittám	megállítám
megállmodja	megálmodja
megállnyi	megállni
megáradott	megáradt
megát	magát
megé	mögé
megégéri	megígéri
megégérte	megígérte
megéledett	megéledt
megén	megint
megérközik	megérkezik
megérköznek	megérkeznek
megérköztek	megérkeztek
megérközém	megérkeztem
megérközött	megérkezett
megétetett	megetetett
megétetni	megetetni
megíbred	megébred
megíbredt	megébredt
megígirte	megígérte
megígézik	megigézik
megígízi	megigézi
megílhetísetek	megélhetésetek
megírintette	megérintette
megírkezett	megérkezett
megírkezik	megérkezik
megírkeznek	megérkeznek
megírkeztek	megérkeztek
megírte	megérte
megírve	megérve
megírzi	megérzi
megódta	megoldta
megörűt	megörült
megösmerkedni	megismerkedni
megösmerkedtek	megismerkedtek
megösmerte	megismerte
megúnta	megunta
megüszőgösödik	megüszkösödik
megütnyi	megütni
megütte	megütötte
megőlt	megölt
megőrizett	megőrzött
megőrzeni	megőrizni
megőrzenéd	megőriznéd
megőrzötted	megőrizted
megőrzők	megőrzök
megőrözni	megőrizni
megőtem	megöltem
megűtették	megültették
mejjére	mellére
mekor	mikor
meleben	melegben
melegenni	melegedni
melegiben	melegében
melett	mellett
melik	melyik
mellegeltetyi	meglegelteti
mellemën	mellemen
melleti	melletti
mellettek	mellettük
mellettt	mellett
mellettök	mellettük
melládd	meglásd
mellátja	meglátja
mellátogatnyi	meglátogatni
mellátta	meglátta
melléj	mellé
mellül	mellől
mellőllik	mellőlük
melyiktek	melyikőtök
men	megy
mendegílt	mendegélt
mendve	mentve
menejenek	menjenek
menek	megyek
meneküljék	meneküljön
menen	megy
menjé	menj
menjék	menjen
menkü	mennykő
mennyasszony	menyasszony
mennyasszonyával	menyasszonyával
mennyegző	menyegző
mennyenek	menjenek
mennyin	mennyien
mennyiér	mennyiért
mennyorszában	mennyországban
mennyországbúl	mennyországból
mensz	mész
mentire	menetére
mentül	mentől
mentűl	mentől
menyasszonnak	menyasszonynak
menyasszont	menyasszonyt
menyasszontáncot	menyasszonytáncot
menyasszonyval	menyasszonnyal
menyek	megyek
menyen	megy
menyire	menyére
menyit	menyét
menyjen	menjen
menynyit	mennyit
menyország	mennyország
menyországba	mennyországba
menyországban	mennyországban
mercedes-ekkel	mercedesekkel
meredett	meredt
mereő	merről
mericsd	merítsd
meritett	merített
meritték	meríték
merrek	merre
merrill-t	merrillt
merrontya	megrontja
merrázkódok	megrázkódom
merísz	merész
merűlt	merült
mesek	mesék
messzely	meszely
messzeretyi	megszereti
messzirül	messziről
messzirő	messziről
messzirűl	messziről
messzüről	messziről
mest	mester
mesterkenni	mesterkedni
mesterségivel	mesterségével
mesterségöket	mesterségüket
mesze	nesze
meszirő	messziről
mesélnyi	mesélni
meséni	mesélni
meséte	mesélte
meséték	mesélték
met	mert
metodust	metódust
mett	mert
mevvan	megvan
mezen	mezőn
mezitelen	meztelen
mezitelenül	meztelenül
mezitláb	mezítláb
mezittelen	meztelen
mezítelenűl	meztelenül
meé	miért
meégis	mégis
meét	miért
meézeset	mézeset
mibül	miből
mibűl	miből
midég	mindig
miel	mivel
mielébb	mielőbb
mielött	mielőtt
mifile	miféle
mifíle	miféle
mig	míg
mihellyest	mihelyst
mihent	mihelyt
mihentes	mihelyt
mihint	mihelyt
mihálytul	mihálytól
miirt	miért
mijatyánkot	miatyánkot
mijen	milyen
mijent	mihelyt
mijjën	milyen
mijé	miért
mikkor	mikor
miko	mikor
mikoriban	mikor
mikorira	mikorra
mikoris	mikor
mikoron	mikor
mikorára	mikorra
mikulasbirodalom	mikulásbirodalom
mikó	mikor
milimétert	milliméter
milyön	milyen
mindakettőnek	mindkettőnek
mindbül	mindből
mindeggyik	mindegyik
mindegyikbű	mindegyikből
mindek	minek
mindel	minddel
mindendenféle	mindenféle
mindenekrül	mindenekről
mindenfilekíppen	mindenféleképpen
mindenfélit	mindenfélét
mindenhö	mindenhez
mindenhő	mindenhez
mindeni	mindene
mindenik	mindegyik
mindenikbe	mindegyikbe
mindenikben	mindegyikben
mindenikből	mindegyikből
mindeniken	mindegyiken
mindeniket	mindegyiket
mindenikkel	mindegyikkel
mindeniknek	mindegyiknek
mindenikre	mindegyikre
mindeniktől	mindegyiktől
mindeniké	mindegyiké
mindenikért	mindegyikért
mindenikőtök	mindegyikőtök
mindenin	mindenén
mindenképen	mindenképpen
mindenkíppen	mindenképpen
mindenrül	mindenről
mindenrő	mindenről
mindenrű	mindenről
mindenvel	mindennel
mindenyi	mindene
mindenyit	mindenét
mindenöve	mindenüvé
mindenüt	mindenütt
mindenüve	mindenüvé
mindeé	mindegy
mindeég	mindig
mindgyárást	mindjárt
mindha	mintha
mindjár	mindjárt
mindnyájok	mindnyájuk
mindnyájokat	mindnyájukat
mindnyájon	mindnyájan
mindnyájónkot	mindnyájunkat
mindonkó	mindenkor
mindég	mindig
mindën	minden
mindënt	mindent
mindíg	mindig
mindön	minden
mindönfelé	mindenfelé
mindönfélévé	mindenfélévé
mindöntudó	mindentudó
minekutánna	minekutána
mingya	mindjárt
mingyjár	mindjárt
mingyá	mindjárt
mingyán	mindjárt
mingyár	mindjárt
ministrángyerek	ministránsgyerek
ministránsgyerekvel	ministránsgyerekkel
minjárt	mindjárt
minnyá	mindjárt
minnyátt	mindjárt
minuszban	mínuszban
minyő	minő
minékünk	minekünk
minútumba	minutumba
minőn	midőn
mirű	miről
miséznyi	misézni
mitevös	mitévő
mitevő	mitévő
mitn	mint
mitsibishi	mitsubishi
mitéveő	mitévő
mitévős	mitévő
mitévősök	mitévők
mitül	mitől
mitűl	mitől
miulta	mióta
mivéllünk	mivelünk
mizo-baranytej	mizo-baranyatej
mián	miatt
miér	miért
miét	miért
miétt	miért
mobilcom	mobilcom
mocsolyáho	mocsolyához
mohojra	moholra
mokasszin	mokaszin
mokasszinjáról	mokaszinjáról
mokasszinját	mokaszinját
mokasszint	mokaszint
molnárho	molnárhoz
mon	mondd
mond	mondd
mondanni	mondani
mondanyi	mondani
mondi	mondja
mondik	mondják
mondtá	mondta
monga	mondja
mongya	mondja
mongyam	mondjam
mongyuk	mondjuk
mongyák	mondják
mongyëk	mondja
monom	mondom
monta	mondta
montenegroban	montenegróban
montuk	mondtuk
monták	mondták
moodyí	moody's
moodyís	moody's
morgalógyik	morgolódik
morris-szal	morrisszal
morzsolástú	morzsolástól
mosatlon	mosatlan
mosdatlanúl	mosdatlanul
mosdjík	mosdjék
moshadd	moshatsz
mosnyi	mosni
mosnák	mosnék
mosodnak	mosdanak
mosogassá	mosogass
mostand	mostan
mosten	mostan
mostmá	már
mostohájok	mostohájuk
mot	most
motorvonat-tender	motorvonattender
mozditják	mozdítják
mozdulatanul	mozdulatlanul
mozdulatlanúl	mozdulatlanul
mozdítanni	mozdítani
mozdúltak	mozdultak
mozdúni	mozdulni
mozgalógyik	mozgolódik
mozsgyik	mosdik
mucskos	mocskos
mucsok	mocsok
mucsokbúl	mocsokból
muezzin	müezzin
mujjon	múljon
mujjík	múljék
mukád	munkád
mulaccságon	mulatságon
mulatgatot	mulatgatott
mulik	múlik
mulj	múlj
mulkor	múltkor
mulkór	múltkor
mulsz	múlsz
mult	múlt
multak	múltak
multkor	múltkor
mulva	múlva
munkahely-csökkentésről	munkahelycsökkentésről
munkájok	munkájuk
munkájokot	munkájukat
munkájokval	munkájukkal
munkámot	munkámat
munkánkot	munkánkat
mustoha	mostoha
mustohaanya	mostohaanya
mustohaanyja	mostohaanyja
mustohaanyjának	mostohaanyjának
mustohatestvír	mostohatestvér
mustohatestvíre	mostohatestvére
mustohatestvírit	mostohatestvérét
mustohám	mostohám
mustohátúl	mostohától
mustárraó	mustárról
muszaj	muszáj
muva	múlva
muzsikosok	muzsikusok
muzsikálnyi	muzsikálni
má	már
máccor	másszor
mácskát	macskát
mái	mai
májfiszek	madárfészek
májáját	máját
mákor	ma
málik	mállik
málva	mályva
mám	ma
mámám	ma
mán	már
márjásod	máriásod
márjásokat	máriásokat
márjást	máriást
márjával	máriával
márkabolt-hálózat	márkabolthálózat
mártony	márton
márványpalotájok	márványpalotájuk
másfelűl	másfelől
másiba	máséba
másikok	másikak
másikoknak	másikaknak
másikot	másikat
másiktúl	másiktól
másikval	másikkal
másikójokkal	másikójukkal
máskiép	másképp
máskíppen	másképpen
másoccor	másodszor
másod-kakasszókor	másodkakasszókor
másodikot	másodikat
másodpercentként	másodpercenként
másogyik	második
másoktul	másoktól
másszorra	másodszorra
mástló	mástól
másunnan	máshonnan
másvilágrúl	másvilágról
mátkájok	mátkájuk
mátkájátúl	mátkájától
máttyás	mátyás
mátáys	mátyás
mátó	mától
mé	mért
méges	mégis
mégpediglen	mégpedig
mégysz	mész
méheskasba	méhkasba
méiért	miért
mélybő	mélyből
mélyentrő	mélyről
ménesse	ménese
ménkü	mennykő
ménkű	mennykő
ménlő	ménló
mér	mért
mérgess	mérges
mérgessen	mérgesen
mérgezött	mérgezett
